boro_ct2010,Fair,Good,Poor,Dead,Stump
1000201,11,46,9,4,0
1000202,39,162,9,6,1
1000600,31,126,11,13,6
1000700,57,59,14,8,6
1000800,52,217,12,7,0
1000900,17,62,3,0,1
1001001,4,14,3,1,2
1001002,11,32,7,6,0
1001200,17,79,8,7,0
1001300,11,77,0,6,0
1001401,14,67,0,2,1
1001402,46,65,12,5,0
1001501,33,116,12,0,5
1001502,11,41,3,1,0
1001600,45,212,12,14,5
1001800,41,253,7,7,2
1002000,3,19,1,2,4
1002100,33,184,11,7,0
1002201,14,87,11,7,1
1002202,9,101,3,3,0
1002400,13,32,3,2,1
1002500,6,34,2,1,0
1002601,36,150,10,7,4
1002602,61,191,7,2,0
1002700,28,39,1,6,3
1002800,50,206,15,4,7
1002900,15,51,4,3,4
1003001,37,177,11,8,1
1003002,15,57,21,7,1
1003100,22,58,12,3,1
1003200,54,194,12,4,10
1003300,32,96,15,8,8
1003400,46,245,14,2,6
1003601,25,119,2,3,2
1003602,24,125,5,4,2
1003700,146,307,22,11,13
1003800,47,250,25,10,6
1003900,116,336,28,16,8
1004000,49,235,16,7,7
1004100,10,71,3,1,1
1004200,19,48,11,2,1
1004300,34,165,11,13,7
1004400,9,244,2,1,3
1004500,3,22,0,0,1
1004700,29,94,21,8,1
1004800,36,211,6,5,13
1004900,23,197,9,2,6
1005000,49,284,22,5,7
1005200,11,70,5,4,0
1005400,7,89,2,5,2
1005501,29,63,5,4,0
1005502,21,80,9,1,0
1005600,10,141,5,19,3
1005700,10,22,0,0,0
1005800,3,65,1,3,1
1005900,46,118,9,2,1
1006000,17,150,6,2,3
1006100,63,87,4,2,3
1006200,14,22,11,7,7
1006300,33,226,8,3,4
1006400,48,215,13,5,5
1006500,132,177,30,8,3
1006600,50,233,14,8,2
1006700,87,281,18,9,2
1006800,38,162,3,2,5
1006900,38,196,17,12,2
1007000,85,164,23,10,6
1007100,66,182,24,7,5
1007200,85,173,20,3,7
1007300,114,296,23,8,3
1007400,31,78,8,4,3
1007500,45,310,13,10,5
1007600,15,28,3,2,0
1007700,51,315,24,9,7
1007800,76,169,32,9,7
1007900,50,328,25,11,1
1008000,52,222,23,4,7
1008100,18,201,9,3,1
1008200,39,140,11,2,6
1008300,4,150,4,8,1
1008400,4,35,0,2,0
1008601,21,61,5,1,5
1008602,0,14,0,0,0
1008603,20,174,2,4,2
1008700,9,194,3,8,7
1008800,59,212,17,9,6
1008900,22,264,7,10,9
1009000,62,239,14,7,1
1009100,14,168,5,4,1
1009200,24,74,12,5,0
1009300,12,207,2,11,5
1009400,18,26,5,2,0
1009500,30,73,5,6,0
1009600,28,32,9,0,0
1009700,7,81,6,3,9
1009800,54,240,23,6,5
1009900,43,612,18,24,7
1010000,51,127,15,1,0
1010100,2,20,0,2,1
1010200,30,58,7,7,0
1010300,8,54,3,4,4
1010400,51,126,4,5,2
1010601,48,173,22,5,2
1010602,50,113,14,12,7
1010800,64,250,12,3,3
1010900,4,13,4,0,0
1011000,91,191,18,3,3
1011100,6,172,8,11,6
1011201,14,17,8,3,1
1011202,19,31,5,8,0
1011203,14,58,1,0,3
1011300,2,4,0,0,0
1011401,23,109,3,2,4
1011402,46,77,21,3,6
1011500,26,82,17,15,4
1011600,47,111,17,4,1
1011700,11,105,5,17,1
1011800,108,210,38,9,7
1011900,8,20,1,2,0
1012000,68,306,32,10,7
1012100,40,230,19,2,7
1012200,56,287,20,6,1
1012400,90,134,51,4,7
