boro_ct2010,spc_common,street_suffix,count
1000201,London planetree,Street,7
1000201,honey locust,Street,14
1000201,Callery pear,Street,1
1000201,pin oak,Street,2
1000201,Japanese zelkova,Street,10
1000201,ginkgo,Street,1
1000201,Sophora,Street,10
1000202,London planetree,Street,45
1000202,honey locust,Street,27
1000202,Callery pear,Street,5
1000202,pin oak,Street,20
1000202,littleleaf linden,Street,8
1000202,cherry,Street,7
1000202,ginkgo,Street,6
1000202,Sophora,Street,2
1000600,London planetree,Street,17
1000600,honey locust,Street,34
1000600,Callery pear,Street,1
1000600,pin oak,Street,11
1000600,Norway maple,Street,2
1000600,littleleaf linden,Street,1
1000600,cherry,Street,4
1000600,Japanese zelkova,Street,3
1000600,ginkgo,Street,19
1000600,Sophora,Street,10
1000700,honey locust,Street,16
1000700,Callery pear,Street,9
1000700,littleleaf linden,Street,37
1000700,Japanese zelkova,Street,3
1000700,Sophora,Street,2
1000800,London planetree,Street,64
1000800,honey locust,Street,34
1000800,Callery pear,Street,13
1000800,pin oak,Street,27
1000800,Norway maple,Street,1
1000800,littleleaf linden,Street,12
1000800,cherry,Street,3
1000800,Japanese zelkova,Street,12
1000800,ginkgo,Street,28
1000800,Sophora,Street,14
1000900,London planetree,Street,2
1000900,honey locust,Street,44
1000900,Callery pear,Street,8
1000900,ginkgo,Street,2
1001001,London planetree,Street,2
1001001,Callery pear,Street,6
1001001,pin oak,Street,4
1001001,cherry,Street,1
1001002,London planetree,Street,1
1001002,honey locust,Street,4
1001002,Callery pear,Street,3
1001002,pin oak,Street,2
1001002,ginkgo,Street,1
1001200,London planetree,Street,16
1001200,honey locust,Street,14
1001200,Callery pear,Street,7
1001200,pin oak,Street,2
1001200,Norway maple,Street,2
1001200,littleleaf linden,Street,5
1001200,ginkgo,Street,9
1001200,Sophora,Street,11
1001300,honey locust,Street,48
1001300,littleleaf linden,Street,1
1001300,Japanese zelkova,Street,2
1001300,ginkgo,Street,3
1001401,honey locust,Street,4
1001401,Callery pear,Street,13
1001401,pin oak,Street,7
1001401,littleleaf linden,Street,2
1001401,Sophora,Street,5
1001402,London planetree,Street,16
1001402,honey locust,Street,12
1001402,Callery pear,Street,10
1001402,pin oak,Street,6
1001402,littleleaf linden,Street,12
1001402,cherry,Street,1
1001402,Japanese zelkova,Street,3
1001402,ginkgo,Street,5
1001402,Sophora,Street,12
1001501,London planetree,Street,15
1001501,honey locust,Street,34
1001501,Callery pear,Street,5
1001501,pin oak,Street,9
1001501,littleleaf linden,Street,1
1001501,cherry,Street,8
1001501,ginkgo,Street,31
1001501,Sophora,Street,5
1001502,honey locust,Street,21
1001502,Callery pear,Street,4
1001502,Japanese zelkova,Street,4
