spc_common,spc_latin,Fair,Good,Poor
'Schubert' chokecherry,Prunus virginiana,717,"3,929",242
American beech,Fagus grandifolia,38,214,21
American elm,Ulmus americana,"1,295","6,412",268
American hophornbeam,Ostrya virginiana,158,866,57
American hornbeam,Carpinus caroliniana,203,"1,221",93
American larch,Larix laricina,8,37,1
American linden,Tilia americana,"1,944","10,844",742
Amur cork tree,Phellodendron amurense,38,121,24
Amur maackia,Maackia amurensis,281,"1,811",105
Amur maple,Acer ginnala,309,"1,640",100
arborvitae,Thuja occidentalis,17,305,6
ash,Fraxinus,392,"2,115",102
Atlantic white cedar,Chamaecyparis thyoides,60,263,32
Atlas cedar,Cedrus atlantica,9,77,1
bald cypress,Taxodium distichum,165,"1,016",80
bigtooth aspen,Populus grandidentata,21,65,8
black cherry,Prunus serotina,107,459,41
black locust,Robinia pseudoacacia,342,"1,389",53
black maple,Acer nigrum,18,88,8
black oak,Quercus velutina,192,"1,092",43
black pine,Pinus nigra,16,18,3
black walnut,Juglans nigra,49,234,12
blackgum,Nyssa sylvatica,51,222,15
blue spruce,Picea pungens,17,104,5
boxelder,Acer negundo,12,46,6
bur oak,Quercus macrocarpa,88,400,27
Callery pear,Pyrus calleryana,"8,769","48,073","2,089"
catalpa,Catalpa,132,372,47
cherry,Prunus,"3,448","24,526","1,305"
Chinese chestnut,Castanea mollissima,21,150,2
Chinese elm,Ulmus parvifolia,691,"4,493",161
Chinese fringetree,Chionanthus retusus,25,203,6
Chinese tree lilac,Syringa pekinensis,72,374,16
cockspur hawthorn,Crataegus crusgalli var. inermis,53,265,23
common hackberry,Celtis occidentalis,394,"1,856",132
Cornelian cherry,Cornus mas,137,881,48
crab apple,Malus,486,"2,897",144
crepe myrtle,Lagerstroemia,53,371,18
crimson king maple,Acer platanoides 'Crimson King',"1,137","4,336",450
cucumber magnolia,Magnolia acuminata,15,142,12
dawn redwood,Metasequoia glyptostroboides,395,"2,426",199
Douglas-fir,Pseudotsuga menziesii,10,73,2
eastern cottonwood,Populus deltoides,48,209,19
eastern hemlock,Tsuga canadensis,20,59,9
eastern redbud,Cercis canadensis,594,"2,927",280
eastern redcedar,Juniperus virginiana,116,946,39
empress tree,Paulownia tomentosa,48,180,17
English oak,Quercus robur,237,"1,363",44
European alder,Alnus glutinosa,14,32,1
European beech,Fagus sylvatica,22,99,4
European hornbeam,Carpinus betulus,296,"1,673",130
false cypress,Chamaecyparis pisifera,9,97,2
flowering dogwood,Cornus florida,273,"1,183",96
ginkgo,Ginkgo biloba,"2,780","17,126","1,118"
golden raintree,Koelreuteria paniculata,500,"3,099",120
green ash,Fraxinus pennsylvanica,"2,599","13,223",428
hardy rubber tree,Eucommia ulmoides,113,740,62
hawthorn,Crataegus,470,"2,325",193
hedge maple,Acer campestre,372,"2,087",91
Himalayan cedar,Cedrus deodara,12,57,3
holly,Ilex,14,118,6
honey locust,Gleditsia triacanthos var. inermis,"8,572","54,501","1,190"
horse chestnut,Aesculus hippocastanum,215,788,93
Japanese hornbeam,Carpinus japonica,62,338,26
Japanese maple,Acer palmatum,182,891,57
Japanese snowbell,Styrax japonicus,65,296,31
Japanese tree lilac,Syringa reticulata,703,"3,645",220
Japanese zelkova,Zelkova serrata,"3,191","25,285",782
katsura tree,Cercidiphyllum japonicum,220,581,110
Kentucky coffeetree,Gymnocladus dioicus,393,"2,835",136
Kentucky yellowwood,Cladrastis kentukea,74,371,34
kousa dogwood,Cornus kousa,51,235,16
littleleaf linden,Tilia cordata,"4,440","23,582","1,720"
London planetree,Platanus x acerifolia,"11,505","73,311","2,198"
magnolia,Magnolia,80,577,42
maple,Acer,"1,733","4,708",639
mimosa,Albizia julibrissin,27,130,6
mulberry,Morus,218,877,62
northern red oak,Quercus rubra,"1,309","6,817",274
Norway maple,Acer platanoides,"9,162","21,248","3,779"
Norway spruce,Picea abies,64,271,20
Ohio buckeye,Aesculus glabra,15,52,8
Oklahoma redbud,Cercis reniformis,35,173,11
Osage-orange,Maclura pomifera,3,26,0
pagoda dogwood,Cornus alternifolia,46,219,15
paper birch,Betula papyrifera,86,420,29
paperbark maple,Acer griseum,44,158,18
Persian ironwood,Parrotia persica,45,219,13
pignut hickory,Carya glabra,19,76,4
pin oak,Quercus palustris,"6,394","45,556","1,235"
pine,Pinus,33,245,11
pitch pine,Pinus rigida,0,33,0
pond cypress,Taxodium ascendens,36,117,28
purple-leaf plum,Prunus cerasifera,"1,092","5,445",342
quaking aspen,Populus tremuloides,10,68,5
red horse chestnut,Aesculus x carnea,14,97,5
red maple,Acer rubrum,"2,911","13,439",896
red pine,Pinus resinosa,10,95,1
river birch,Betula nigra,81,459,25
sassafras,Sassafras albidum,30,128,13
sawtooth oak,Quercus acutissima,229,"1,967",48
scarlet oak,Quercus coccinea,307,"1,085",73
Schumard's oak,Quercus shumardii,240,"1,187",60
Scots pine,Pinus sylvestris,3,21,1
serviceberry,Amelanchier,273,"1,626",133
Shantung maple,Acer truncatum,7,47,5
shingle oak,Quercus imbricaria,127,876,46
Siberian elm,Ulmus pumila,274,"1,270",51
silver birch,Betula pendula,59,225,16
silver linden,Tilia tomentosa,899,"6,833",263
silver maple,Acer saccharinum,"2,256","9,462",559
smoketree,Cotinus coggygria,10,47,1
Sophora,Styphnolobium japonicum,"2,890","15,832",616
southern magnolia,Magnolia grandiflora,12,114,6
southern red oak,Quercus falcata,14,66,3
spruce,Picea,43,152,7
sugar maple,Acer saccharum,620,"1,990",234
swamp white oak,Quercus bicolor,909,"5,434",255
sweetgum,Liquidambar styraciflua,"1,271","9,083",303
sycamore maple,Acer pseudoplatanus,560,"1,991",180
tartar maple,Acer tataricum,27,114,12
tree of heaven,Ailanthus altissima,161,539,56
trident maple,Acer buergerianum,20,87,3
tulip-poplar,Liriodendron tulipifera,204,802,70
Turkish hazelnut,Corylus colurna,65,223,29
two-winged silverbell,Halesia diptera,56,158,7
