spc_common,suffix,percent
London planetree,Street,22.18
honey locust,Street,14.89
Callery pear,Street,12.48
pin oak,Street,10.76
Norway maple,Street,8.19
littleleaf linden,Street,7.5
cherry,Street,6.4
Japanese zelkova,Street,6.89
ginkgo,Street,5.6
Sophora,Street,5.1
London planetree,Avenue,18.56
honey locust,Avenue,15.46
Callery pear,Avenue,15.24
pin oak,Avenue,13.12
Norway maple,Avenue,8.05
littleleaf linden,Avenue,6.49
cherry,Avenue,7.63
Japanese zelkova,Avenue,6.83
ginkgo,Avenue,4.4
Sophora,Avenue,4.21
London planetree,Road,19.44
honey locust,Road,11.61
Callery pear,Road,15.76
pin oak,Road,14.4
Norway maple,Road,10.75
littleleaf linden,Road,6.31
cherry,Road,8.91
Japanese zelkova,Road,6.04
ginkgo,Road,3.61
Sophora,Road,3.17
London planetree,Boulevard,17.7
honey locust,Boulevard,17.55
Callery pear,Boulevard,13.39
pin oak,Boulevard,17.44
Norway maple,Boulevard,5.04
littleleaf linden,Boulevard,6.21
cherry,Boulevard,5.75
Japanese zelkova,Boulevard,7.37
ginkgo,Boulevard,5.25
Sophora,Boulevard,4.29
London planetree,Place,20.3
honey locust,Place,12.89
Callery pear,Place,15.92
pin oak,Place,11.6
Norway maple,Place,8.68
littleleaf linden,Place,7.3
cherry,Place,6.9
Japanese zelkova,Place,6.73
ginkgo,Place,5.16
Sophora,Place,4.52
London planetree,Parkway,22.11
honey locust,Parkway,17.12
Callery pear,Parkway,6.28
pin oak,Parkway,18.36
Norway maple,Parkway,7.28
littleleaf linden,Parkway,10.71
cherry,Parkway,3.41
Japanese zelkova,Parkway,8.57
ginkgo,Parkway,2.76
Sophora,Parkway,3.42
London planetree,Drive,22.66
honey locust,Drive,14.49
Callery pear,Drive,12.6
pin oak,Drive,10.81
Norway maple,Drive,8.31
littleleaf linden,Drive,9.48
cherry,Drive,8.49
Japanese zelkova,Drive,5.86
ginkgo,Drive,2.97
Sophora,Drive,4.32
London planetree,Lane,18.33
honey locust,Lane,10.41
Callery pear,Lane,28.97
pin oak,Lane,9.7
Norway maple,Lane,8.37
littleleaf linden,Lane,5.21
cherry,Lane,9.41
Japanese zelkova,Lane,4.95
ginkgo,Lane,1.71
Sophora,Lane,2.94
London planetree,“Broadway”,13.59
honey locust,“Broadway”,19.34
Callery pear,“Broadway”,10
pin oak,“Broadway”,35.4
Norway maple,“Broadway”,0.56
littleleaf linden,“Broadway”,3.36
cherry,“Broadway”,2.38
