boro_ct2010,species
1000201,honey locust
1000202,London planetree
1000600,honey locust
1000700,littleleaf linden
1000800,London planetree
1000900,honey locust
1001001,Callery pear
1001002,honey locust
1001200,London planetree
1001300,honey locust
1001401,Callery pear
1001402,London planetree
1001501,honey locust
1001502,honey locust
1001600,London planetree
1001800,honey locust
1002000,honey locust
1002100,honey locust
1002201,honey locust
1002202,honey locust
1002400,London planetree
1002500,London planetree
1002601,honey locust
1002602,honey locust
1002700,American elm
1002800,honey locust
1002900,honey locust
1003001,Callery pear
1003002,honey locust
1003100,Callery pear
1003200,honey locust
1003300,honey locust
1003400,honey locust
1003601,honey locust
1003602,honey locust
1003700,Japanese zelkova
1003800,honey locust
1003900,honey locust
1004000,Callery pear
1004100,ginkgo
1004200,honey locust
1004300,honey locust
1004400,honey locust
1004500,ginkgo
1004700,honey locust
1004800,ginkgo
1004900,honey locust
1005000,honey locust
1005200,Sophora
1005400,Callery pear
1005501,Callery pear
1005502,Callery pear
1005600,European hornbeam
1005700,Sophora
1005800,Callery pear
1005900,Callery pear
1006000,honey locust
1006100,honey locust
1006200,honey locust
1006300,ginkgo
1006400,honey locust
1006500,honey locust
1006600,honey locust
1006700,ginkgo
1006800,Callery pear
1006900,Callery pear
1007000,Sophora
1007100,Callery pear
1007200,honey locust
1007300,ginkgo
1007400,honey locust
1007500,Callery pear
1007600,Sophora
1007700,honey locust
1007800,honey locust
1007900,Callery pear
1008000,honey locust
1008100,Callery pear
1008200,honey locust
1008300,honey locust
1008400,ginkgo
1008601,honey locust
1008602,London planetree
1008603,ginkgo
1008700,Callery pear
1008800,ginkgo
1008900,honey locust
1009000,honey locust
1009100,Callery pear
1009200,honey locust
1009300,Callery pear
1009400,honey locust
1009500,honey locust
1009600,honey locust
1009700,littleleaf linden
1009800,ginkgo
1009900,honey locust
1010000,honey locust
1010100,American elm
1010200,Callery pear
1010300,honey locust
1010400,honey locust
1010601,Callery pear
1010602,honey locust
1010800,honey locust
1010900,ginkgo
1011000,honey locust
1011100,Callery pear
1011201,Callery pear
1011202,ginkgo
1011203,ginkgo
1011300,Callery pear
1011401,Callery pear
1011402,Callery pear
1011500,Callery pear
1011600,honey locust
1011700,pin oak
1011800,honey locust
1011900,ginkgo
1012000,Callery pear
1012100,honey locust
1012200,Callery pear
1012400,honey locust
1012500,Callery pear
1012600,honey locust
1012700,honey locust
1012800,honey locust
1012900,honey locust
1013000,ginkgo
1013100,littleleaf linden
1013200,honey locust
1013300,honey locust
1013400,honey locust
1013500,honey locust
1013600,honey locust
1013700,honey locust
1013800,Callery pear
1013900,honey locust
1014000,ginkgo
1014200,ginkgo
1014300,American elm
1014401,honey locust
1014402,honey locust
1014500,honey locust
1014601,honey locust
1014602,honey locust
1014700,Callery pear
1014801,honey locust
1014802,Callery pear
1014900,honey locust
